epoch,avg_score,avg_val_score,epsilon,avg_loss,beta
0,0.058823529411764705,0.3333333333333333,0.8433051360508336,0.0015013589529553428,0.41019900000000004
1,0.47058823529411764,2.5,0.7111635524897149,0.0023960440896917136,0.420399
2,1.21,1.8333333333333333,0.5997278763867329,0.002934149270877242,0.430599
3,2.19,3.6666666666666665,0.5057535983897912,0.0037123249284923077,0.440799
4,3.11,4.333333333333333,0.42650460709830135,0.0047037949413061145,0.45099900000000004
5,4.07,4.666666666666667,0.3596735257153405,0.0054869799059815705,0.461199
6,4.92,6.0,0.3033145315372582,0.005900292145088315,0.471399
7,5.78,5.333333333333333,0.25578670228422234,0.006430524755269289,0.481599
8,6.0,5.166666666666667,0.21570623976979014,0.006265824898146093,0.491799
9,6.13,6.0,0.18190617987607657,0.0065029958263039585,0.501999
10,6.54,7.166666666666667,0.1534024157688821,0.006447031716816127,0.5121990000000001
11,6.63,8.333333333333334,0.12936504510050365,0.006432139193639159,0.5223990000000001
12,7.03,9.833333333333334,0.10909420695870241,0.006518722050823271,0.532599
13,7.72,9.0,0.09199970504166631,0.006326491560321302,0.542799
14,8.37,9.166666666666666,0.07758382377679894,0.006499177396763116,0.552999
15,8.69,9.5,0.06542683706543727,0.00620438605779782,0.563199
16,8.62,13.833333333333334,0.05517478773284426,0.006075238790363074,0.573399
17,8.86,8.5,0.04652918187562211,0.005991482520475984,0.583599
18,9.37,8.0,0.03923829805195549,0.005961325576063246,0.593799
19,9.77,7.333333333333333,0.03308985827710748,0.006137369847856462,0.6039990000000001
20,10.18,9.166666666666666,0.0279048474362789,0.005720933123957366,0.6141989999999999
21,10.56,10.166666666666666,0.023532301163728918,0.005650354328099638,0.624399
22,10.41,9.166666666666666,0.019844910434467605,0.005560259723570198,0.634599
23,10.43,9.666666666666666,0.016735314893855303,0.005741154607385397,0.644799
24,10.89,11.0,0.014112977003416188,0.00518218296347186,0.654999
25,11.22,12.666666666666666,0.01190154599194817,0.005337628982961178,0.665199
26,11.03,10.666666666666666,0.010036634861955105,0.005207845871336758,0.6753990000000001
27,11.06,13.666666666666666,0.01,0.005039847928564996,0.6855990000000001
28,12.01,13.166666666666666,0.01,0.004941367849241942,0.6957990000000001
29,12.64,12.333333333333334,0.01,0.005000944193452597,0.705999
30,12.58,11.833333333333334,0.01,0.004806279111653567,0.716199
31,12.33,11.666666666666666,0.01,0.004675311585888266,0.726399
32,12.24,10.333333333333334,0.01,0.0045196461607702075,0.736599
33,12.29,9.166666666666666,0.01,0.004614521545590833,0.746799
34,11.89,10.5,0.01,0.0043356546014547345,0.756999
35,12.37,11.166666666666666,0.01,0.004513643076643347,0.767199
36,12.8,12.5,0.01,0.004388655414804816,0.777399
37,13.6,11.833333333333334,0.01,0.004058716718573123,0.7875989999999999
38,13.62,14.166666666666666,0.01,0.004212957601994276,0.797799
39,13.59,15.833333333333334,0.01,0.0037243797082919627,0.807999
40,13.6,13.5,0.01,0.004063153718598187,0.8181990000000001
41,13.92,13.166666666666666,0.01,0.003737483995500952,0.828399
42,14.26,14.5,0.01,0.0038073642912786454,0.838599
43,14.25,16.833333333333332,0.01,0.0037986957957036795,0.8487990000000001
44,13.97,18.5,0.01,0.0037973659881390632,0.8589990000000001
45,13.75,14.5,0.01,0.0036987807601690293,0.869199
46,13.84,15.333333333333334,0.01,0.0035428444109857084,0.879399
47,14.21,10.5,0.01,0.0034026631445158275,0.889599
48,14.61,15.0,0.01,0.003332165575120598,0.899799
49,14.35,14.833333333333334,0.01,0.003194807091495022,0.909999
50,14.56,14.5,0.01,0.0032078333990648387,0.920199
51,14.67,18.5,0.01,0.003131477559218183,0.930399
52,15.17,13.333333333333334,0.01,0.003168123975628987,0.940599
53,14.93,13.666666666666666,0.01,0.003114873918239027,0.9507990000000001
54,14.52,15.333333333333334,0.01,0.003054051914950833,0.960999
55,15.0,16.333333333333332,0.01,0.0029883221664931624,0.9711989999999999
56,15.32,13.666666666666666,0.01,0.0029305554414168,0.981399
57,15.67,16.333333333333332,0.01,0.0029070991347543897,0.991599
58,15.78,13.833333333333334,0.01,0.0028782138996757568,0.999999
