step,episode,epoch,epoch step,epoch_episode,episode step,score,epsilon,beta,avg_pos_reward_ratio,avg_neg_reward_ratio,avg_loss
300,0,0,300,1,299,0.0,1.0,0.400299,0.0,0.0,0.0013996093806226627
600,1,0,600,2,299,1.0,0.995,0.40059900000000004,0.00234375,0.0,0.0010120958829065785
900,2,0,900,3,299,0.0,0.990025,0.400899,0.0140625,0.0,0.0015898365556495265
1200,3,0,1200,4,299,0.0,0.985074875,0.40119900000000003,0.01109375,0.0,0.00121881733473856
1500,4,0,1500,5,299,-2.0,0.9801495006250001,0.401499,0.0090625,0.0134375,0.0018922219990054146
1800,5,0,1800,6,299,1.0,0.9752487531218751,0.401799,0.01453125,0.02203125,0.0025781720376107844
2100,6,0,2100,7,299,-1.0,0.9703725093562657,0.40209900000000004,0.01421875,0.02625,0.0028113797458354382
2400,7,0,2400,8,299,0.0,0.9655206468094844,0.402399,0.01703125,0.03,0.00300743515312206
2700,8,0,2700,9,299,0.0,0.960693043575437,0.40269900000000003,0.0175,0.031875,0.0031998569617280735
3000,9,0,3000,10,299,1.0,0.9558895783575597,0.402999,0.01890625,0.02734375,0.002878089066944085
3300,10,0,3300,11,299,-2.0,0.9511101304657719,0.403299,0.02296875,0.033125,0.003258006009273231
3600,11,0,3600,12,299,1.0,0.946354579813443,0.40359900000000004,0.02421875,0.03015625,0.003107516540912911
3900,12,0,3900,13,299,0.0,0.9416228069143757,0.403899,0.0246875,0.0271875,0.0028915798908565192
4200,13,0,4200,14,299,3.0,0.9369146928798039,0.40419900000000003,0.03359375,0.0271875,0.003490864749182947
4500,14,0,4500,15,299,-1.0,0.9322301194154049,0.404499,0.0465625,0.03453125,0.00433249490626622
4800,15,0,4800,16,299,-1.0,0.9275689688183278,0.404799,0.03921875,0.0371875,0.003992784250294789
5100,16,0,5100,17,299,2.0,0.9229311239742362,0.40509900000000004,0.03953125,0.03359375,0.003950428805546835
5400,17,0,5400,18,299,0.0,0.918316468354365,0.405399,0.04421875,0.03390625,0.003943373516667634
