step,episode,epoch,epoch step,epoch_episode,episode step,score,epsilon,beta,avg_pos_reward_ratio,avg_neg_reward_ratio,avg_loss
300,0,0,300,1,299,0.0,1.0,0.400299,0.015889830508474576,0.02198093220338983,0.0051932255698020685
600,1,0,600,2,299,0.0,0.995,0.40059900000000004,0.01734375,0.01734375,0.0033022945385891944
900,2,0,900,3,299,0.0,0.990025,0.400899,0.01171875,0.01109375,0.002686705841915682
1200,3,0,1200,4,299,-1.0,0.985074875,0.40119900000000003,0.006875,0.0134375,0.0027177401131484656
1500,4,0,1500,5,299,0.0,0.9801495006250001,0.401499,0.00828125,0.01765625,0.0026802466448862107
1800,5,0,1800,6,299,1.0,0.9752487531218751,0.401799,0.008125,0.0146875,0.002243316206149757
2100,6,0,2100,7,299,1.0,0.9703725093562657,0.40209900000000004,0.01640625,0.01171875,0.002270580272888765
2400,7,0,2400,8,299,1.0,0.9655206468094844,0.402399,0.02375,0.01390625,0.0027539206959772853
2700,8,0,2700,9,299,0.0,0.960693043575437,0.40269900000000003,0.0259375,0.0140625,0.0028499498893506826
3000,9,0,3000,10,299,0.0,0.9558895783575597,0.402999,0.02734375,0.014375,0.0027528928918763994
3300,10,0,3300,11,299,0.0,0.9511101304657719,0.403299,0.0275,0.016875,0.002890505712712184
3600,11,0,3600,12,299,0.0,0.946354579813443,0.40359900000000004,0.02640625,0.02109375,0.002867355621419847
3900,12,0,3900,13,299,1.0,0.9416228069143757,0.403899,0.026875,0.01734375,0.0025240710808429865
4200,13,0,4200,14,299,-1.0,0.9369146928798039,0.40419900000000003,0.0253125,0.01796875,0.0024761541921179742
4500,14,0,4500,15,299,-1.0,0.9322301194154049,0.404499,0.02203125,0.01984375,0.0022846416861284522
4800,15,0,4800,16,299,-1.0,0.9275689688183278,0.404799,0.02125,0.02296875,0.0023008539516013115
5100,16,0,5100,17,299,0.0,0.9229311239742362,0.40509900000000004,0.019375,0.0253125,0.0022511731536360457
5400,17,0,5400,18,299,1.0,0.918316468354365,0.405399,0.01453125,0.02453125,0.002117161665810272
5700,18,0,5700,19,299,-3.0,0.9137248860125932,0.40569900000000003,0.0203125,0.0265625,0.0026003474334720523
6000,19,0,6000,20,299,1.0,0.9091562615825302,0.405999,0.01875,0.0334375,0.002727998528862372
6300,20,0,6300,21,299,-3.0,0.9046104802746175,0.406299,0.02171875,0.03484375,0.002933628905448131
6600,21,0,6600,22,299,0.0,0.9000874278732445,0.40659900000000004,0.0190625,0.0378125,0.0030044265318429097
6900,22,0,6900,23,299,1.0,0.8955869907338783,0.406899,0.01765625,0.03625,0.0027500315313227475
7200,23,0,7200,24,299,0.0,0.8911090557802088,0.40719900000000003,0.0184375,0.0315625,0.0025175632117316127
7500,24,0,7500,25,299,0.0,0.8866535105013078,0.407499,0.01671875,0.02828125,0.002287214087555185
7800,25,0,7800,26,299,0.0,0.8822202429488013,0.407799,0.01671875,0.02578125,0.00217265440907795
8100,26,0,8100,27,299,0.0,0.8778091417340573,0.40809900000000005,0.0190625,0.0278125,0.002380979975569062
8400,27,0,8400,28,299,0.0,0.8734200960253871,0.408399,0.01953125,0.03578125,0.0026127032877411695
8700,28,0,8700,29,299,0.0,0.8690529955452602,0.40869900000000003,0.01921875,0.02921875,0.0023797477182233707
9000,29,0,9000,30,299,0.0,0.8647077305675338,0.408999,0.0171875,0.0246875,0.0021249786939006297
9300,30,0,9300,31,299,0.0,0.8603841919146962,0.409299,0.0190625,0.02828125,0.0024634907155996187
9600,31,0,9600,32,299,1.0,0.8560822709551227,0.40959900000000005,0.0221875,0.02765625,0.0026390983827877788
9900,32,0,9900,33,299,0.0,0.851801859600347,0.409899,0.0215625,0.02765625,0.002637375091435388
10200,33,0,10200,34,299,-1.0,0.8475428503023453,0.41019900000000004,0.020625,0.0259375,0.0024717845022678374
10500,34,1,300,1,299,0.0,0.8433051360508336,0.410499,0.02015625,0.030625,0.0025021407776512207
10800,35,1,600,2,299,-1.0,0.8390886103705794,0.410799,0.016875,0.0265625,0.002307511194376275
11100,36,1,900,3,299,0.0,0.8348931673187264,0.41109900000000005,0.0171875,0.025625,0.002283971371361986
11400,37,1,1200,4,299,1.0,0.8307187014821328,0.411399,0.01453125,0.02421875,0.002211300744093023
11700,38,1,1500,5,299,0.0,0.8265651079747222,0.41169900000000004,0.018125,0.02609375,0.002320314621319994
12000,39,1,1800,6,299,1.0,0.8224322824348486,0.411999,0.01546875,0.02203125,0.002125400034128688
12300,40,1,2100,7,299,3.0,0.8183201210226743,0.412299,0.019375,0.02125,0.002210703381570056
12600,41,1,2400,8,299,0.0,0.8142285204175609,0.41259900000000005,0.02234375,0.02359375,0.00251740358537063
12900,42,1,2700,9,299,-1.0,0.810157377815473,0.412899,0.02078125,0.02515625,0.0025490856741089375
13200,43,1,3000,10,299,-1.0,0.8061065909263957,0.41319900000000004,0.0178125,0.02578125,0.0023540285223862156
13500,44,1,3300,11,299,1.0,0.8020760579717637,0.413499,0.01796875,0.025,0.0023897481622407214
13800,45,1,3600,12,299,0.0,0.798065677681905,0.41379900000000003,0.0190625,0.025625,0.002463254069443792
14100,46,1,3900,13,299,0.0,0.7940753492934954,0.414099,0.02078125,0.0228125,0.0023275515396380796
14400,47,1,4200,14,299,2.0,0.7901049725470279,0.414399,0.02109375,0.02109375,0.0023023878532694654
14700,48,1,4500,15,299,-1.0,0.7861544476842928,0.41469900000000004,0.02078125,0.0234375,0.0023785607831086964
15000,49,1,4800,16,299,1.0,0.7822236754458713,0.414999,0.02078125,0.02453125,0.0024063850962556897
15300,50,1,5100,17,299,0.0,0.778312557068642,0.41529900000000003,0.01953125,0.02359375,0.002284935277421027
15600,51,1,5400,18,299,1.0,0.7744209942832988,0.415599,0.02046875,0.02515625,0.002407475364743732
15900,52,1,5700,19,299,0.0,0.7705488893118823,0.415899,0.0215625,0.0228125,0.0023888020240701736
16200,53,1,6000,20,299,0.0,0.7666961448653229,0.41619900000000004,0.0190625,0.0228125,0.002281318686436862
16500,54,1,6300,21,299,3.0,0.7628626641409962,0.416499,0.02265625,0.02171875,0.002347675549099222
16800,55,1,6600,22,299,1.0,0.7590483508202912,0.41679900000000003,0.0271875,0.0190625,0.002471350934938528
17100,56,1,6900,23,299,0.0,0.7552531090661897,0.417099,0.02328125,0.01765625,0.002351041513029486
17400,57,1,7200,24,299,0.0,0.7514768435208588,0.417399,0.0196875,0.02171875,0.002327297043520957
17700,58,1,7500,25,299,0.0,0.7477194593032545,0.41769900000000004,0.02,0.02015625,0.002287621496943757
18000,59,1,7800,26,299,-1.0,0.7439808620067382,0.417999,0.02203125,0.01921875,0.002311612591147423
18300,60,1,8100,27,299,-1.0,0.7402609576967045,0.41829900000000003,0.018125,0.0171875,0.002225509051932022
18600,61,1,8400,28,299,-1.0,0.736559652908221,0.418599,0.0215625,0.01671875,0.002249443485052325
18900,62,1,8700,29,299,0.0,0.7328768546436799,0.418899,0.01953125,0.0196875,0.0022863916005007924
19200,63,1,9000,30,299,0.0,0.7292124703704616,0.41919900000000004,0.0184375,0.0178125,0.0022571573266759516
19500,64,1,9300,31,299,0.0,0.7255664080186093,0.419499,0.019375,0.023125,0.0024102441291324796
19800,65,1,9600,32,299,1.0,0.7219385759785162,0.41979900000000003,0.01984375,0.02,0.0024198839510791003
20100,66,1,9900,33,299,2.0,0.7183288830986236,0.420099,0.02171875,0.021875,0.0024486665392760188
20400,67,1,10200,34,299,0.0,0.7147372386831305,0.420399,0.02328125,0.020625,0.002526895138435066
20700,68,2,300,1,299,1.0,0.7111635524897149,0.42069900000000005,0.02375,0.01734375,0.0025152128224726765
21000,69,2,600,2,299,0.0,0.7076077347272662,0.420999,0.0253125,0.018125,0.0025122985849156975
21300,70,2,900,3,299,1.0,0.7040696960536299,0.42129900000000003,0.0221875,0.01984375,0.0024970800173468887
21600,71,2,1200,4,299,1.0,0.7005493475733617,0.421599,0.02171875,0.018125,0.0024157723726239057
