step,episode,epoch,epoch step,epoch_episode,episode step,score,epsilon,beta,avg_pos_reward_ratio,avg_neg_reward_ratio,avg_loss
300,0,0,300,1,299,0.0,1.0,0.400299,0.0,0.0,0.0030161758107369986
600,1,0,600,2,299,2.0,0.996,0.40059900000000004,0.025,0.0,0.0033699539292138068
900,2,0,900,3,299,0.0,0.992016,0.400899,0.03296875,0.0,0.0031536436843452977
1200,3,0,1200,4,299,-1.0,0.988047936,0.40119900000000003,0.02640625,0.00296875,0.0029750462371157483
1500,4,0,1500,5,299,-1.0,0.984095744256,0.401499,0.0215625,0.01515625,0.003486121906898916
1800,5,0,1800,6,299,0.0,0.980159361278976,0.401799,0.0171875,0.015625,0.002997860530158505
2100,6,0,2100,7,299,0.0,0.97623872383386,0.40209900000000004,0.0175,0.02109375,0.003070174709428102
2400,7,0,2400,8,299,-1.0,0.9723337689385245,0.402399,0.020625,0.0275,0.0037437037541531025
2700,8,0,2700,9,299,-1.0,0.9684444338627705,0.40269900000000003,0.016875,0.03296875,0.003698009888175875
3000,9,0,3000,10,299,0.0,0.9645706561273194,0.402999,0.01921875,0.03421875,0.0038778333767550068
3300,10,0,3300,11,299,1.0,0.9607123735028101,0.403299,0.02171875,0.03234375,0.0038426336308475585
3600,11,0,3600,12,299,0.0,0.9568695240087989,0.40359900000000004,0.028125,0.03484375,0.004273165327031165
3900,12,0,3900,13,299,1.0,0.9530420459127636,0.403899,0.030625,0.033125,0.004194057154236362
4200,13,0,4200,14,299,-1.0,0.9492298777291126,0.40419900000000003,0.03453125,0.03515625,0.004470912569668144
4500,14,0,4500,15,299,-1.0,0.9454329582181962,0.404499,0.0365625,0.03921875,0.004814626229926944
4800,15,0,4800,16,299,-1.0,0.9416512263853234,0.404799,0.0296875,0.0525,0.005124828000552952
5100,16,0,5100,17,299,2.0,0.9378846214797821,0.40509900000000004,0.0371875,0.04828125,0.005221630523446947
5400,17,0,5400,18,299,0.0,0.934133082993863,0.405399,0.03828125,0.048125,0.005263038486009464
5700,18,0,5700,19,299,0.0,0.9303965506618875,0.40569900000000003,0.04046875,0.049375,0.005332360493484884
6000,19,0,6000,20,299,0.0,0.92667496445924,0.405999,0.043125,0.04765625,0.005239941307809204
6300,20,0,6300,21,299,-1.0,0.922968264601403,0.406299,0.04078125,0.04875,0.0050666071649175136
6600,21,0,6600,22,299,0.0,0.9192763915429975,0.40659900000000004,0.0371875,0.04984375,0.004976724381558597
6900,22,0,6900,23,299,1.0,0.9155992859768255,0.406899,0.04109375,0.04890625,0.005148003387730569
7200,23,0,7200,24,299,1.0,0.9119368888329182,0.40719900000000003,0.0434375,0.04609375,0.005164707696530968
7500,24,0,7500,25,299,-3.0,0.9082891412775865,0.407499,0.044375,0.0484375,0.00521845459472388
7800,25,0,7800,26,299,1.0,0.9046559847124762,0.407799,0.0446875,0.05390625,0.005346093237167224
8100,26,0,8100,27,299,1.0,0.9010373607736263,0.40809900000000005,0.0471875,0.04578125,0.005111227825982496
