epoch,avg_score,avg_val_score,epsilon,avg_loss,beta
0,0.08823529411764706,0.5,0.8433051360508336,0.003083364951889962,0.41019900000000004
1,0.25,2.3333333333333335,0.7111635524897149,0.0028757192054763435,0.420399
2,0.88,2.6666666666666665,0.5997278763867329,0.004120998175349087,0.430599
3,1.9,3.5,0.5057535983897912,0.005197885120287538,0.440799
4,3.3,4.0,0.42650460709830135,0.005844103647395968,0.45099900000000004
5,4.33,6.666666666666667,0.3596735257153405,0.006436010194011033,0.461199
6,5.18,8.166666666666666,0.3033145315372582,0.007034855848178268,0.471399
7,6.45,7.5,0.25578670228422234,0.007835328239016235,0.481599
8,7.45,10.666666666666666,0.21570623976979014,0.007854938264936209,0.491799
9,8.41,9.0,0.18190617987607657,0.007792123041581362,0.501999
10,9.0,8.5,0.1534024157688821,0.008137230705469846,0.5121990000000001
11,9.16,9.166666666666666,0.12936504510050365,0.008286975487135351,0.5223990000000001
12,9.42,10.666666666666666,0.10909420695870241,0.00802595985820517,0.532599
13,9.34,10.0,0.09199970504166631,0.007776867605280131,0.542799
14,9.66,9.666666666666666,0.07758382377679894,0.007744441598188132,0.552999
15,9.74,10.5,0.06542683706543727,0.008137846793979407,0.563199
16,10.11,10.333333333333334,0.05517478773284426,0.0076929093757644295,0.573399
17,10.38,11.0,0.04652918187562211,0.007168080215342343,0.583599
18,10.66,11.166666666666666,0.03923829805195549,0.0073648756789043545,0.593799
19,11.17,12.833333333333334,0.03308985827710748,0.006911511544603855,0.6039990000000001
20,11.68,13.166666666666666,0.0279048474362789,0.006329396753571927,0.6141989999999999
21,12.28,14.0,0.023532301163728918,0.006278229132294655,0.624399
22,13.04,11.166666666666666,0.019844910434467605,0.006280075393151492,0.634599
23,13.22,14.166666666666666,0.016735314893855303,0.006119712360668927,0.644799
24,13.43,13.0,0.014112977003416188,0.006007937525864691,0.654999
25,13.18,14.166666666666666,0.01190154599194817,0.005909983478486538,0.665199
26,13.55,13.333333333333334,0.010036634861955105,0.005895349408965558,0.6753990000000001
27,13.98,10.166666666666666,0.01,0.0058839916391298175,0.6855990000000001
28,14.08,11.333333333333334,0.01,0.005644134331960231,0.6957990000000001
29,14.18,16.166666666666668,0.01,0.005362298018299043,0.705999
30,14.46,14.5,0.01,0.005278155722189695,0.716199
31,14.65,19.833333333333332,0.01,0.005336263286881149,0.726399
32,14.86,14.166666666666666,0.01,0.005047825726214796,0.736599
33,14.54,15.333333333333334,0.01,0.005185707611963153,0.746799
34,15.05,15.333333333333334,0.01,0.005024542787577957,0.756999
35,15.31,15.666666666666666,0.01,0.004872618017252535,0.767199
36,15.18,16.0,0.01,0.004788379047531635,0.777399
37,15.22,14.0,0.01,0.004559844277100638,0.7875989999999999
38,15.2,16.333333333333332,0.01,0.004616213678382337,0.797799
39,15.43,15.333333333333334,0.01,0.004475758791668341,0.807999
40,15.29,14.833333333333334,0.01,0.004263398721814155,0.8181990000000001
41,15.4,20.0,0.01,0.0042224260070361196,0.828399
42,15.3,17.333333333333332,0.01,0.004424861312145367,0.838599
43,15.13,15.666666666666666,0.01,0.004103360954904929,0.8487990000000001
44,15.04,17.333333333333332,0.01,0.003807600383879617,0.8589990000000001
45,14.99,14.166666666666666,0.01,0.0038087235565762967,0.869199
46,15.21,14.0,0.01,0.003708443350624293,0.879399
47,15.31,19.166666666666668,0.01,0.003677150533767417,0.889599
48,15.27,11.833333333333334,0.01,0.0037165798887144772,0.899799
49,15.52,11.0,0.01,0.003664472948294133,0.909999
50,15.62,17.666666666666668,0.01,0.003448066221317276,0.920199
51,15.8,17.166666666666668,0.01,0.003407356576062739,0.930399
52,16.3,11.666666666666666,0.01,0.003195913911331445,0.940599
53,16.07,17.5,0.01,0.0033180834096856416,0.9507990000000001
54,16.01,17.666666666666668,0.01,0.0032631978776771573,0.960999
55,15.81,17.333333333333332,0.01,0.00307934140204452,0.9711989999999999
56,16.54,16.666666666666668,0.01,0.0032589599653147163,0.981399
57,16.19,15.166666666666666,0.01,0.0029688155581243337,0.991599
58,16.38,15.333333333333334,0.01,0.0031142917124088853,0.999999
