step,episode,epoch,epoch step,epoch_episode,episode step,score,epsilon,beta,avg_pos_reward_ratio,avg_neg_reward_ratio,avg_loss
300,0,0,300,1,299,0.0,1.0,0.400299,0.011122881355932203,0.014565677966101694,0.0043581697963557
600,1,0,600,2,299,0.0,0.995,0.40059900000000004,0.01859375,0.01921875,0.003217302125412971
900,2,0,900,3,299,2.0,0.990025,0.400899,0.01953125,0.0128125,0.0021008629922289403
1200,3,0,1200,4,299,0.0,0.985074875,0.40119900000000003,0.0365625,0.01578125,0.0029429860005620867
1500,4,0,1500,5,299,-1.0,0.9801495006250001,0.401499,0.02640625,0.0275,0.0028217213181778787
1800,5,0,1800,6,299,1.0,0.9752487531218751,0.401799,0.03203125,0.02859375,0.003016930801095441
2100,6,0,2100,7,299,-1.0,0.9703725093562657,0.40209900000000004,0.03078125,0.03046875,0.003034984706318937
2400,7,0,2400,8,299,-1.0,0.9655206468094844,0.402399,0.02484375,0.03390625,0.0028243675461271777
2700,8,0,2700,9,299,1.0,0.960693043575437,0.40269900000000003,0.02625,0.033125,0.0025605370535049586
3000,9,0,3000,10,299,2.0,0.9558895783575597,0.402999,0.0334375,0.0246875,0.002583648770232685
3300,10,0,3300,11,299,0.0,0.9511101304657719,0.403299,0.034375,0.02328125,0.0023853777832118796
3600,11,0,3600,12,299,1.0,0.946354579813443,0.40359900000000004,0.03,0.02171875,0.0021853101503802462
3900,12,0,3900,13,299,3.0,0.9416228069143757,0.403899,0.03578125,0.0134375,0.002213814425631426
4200,13,0,4200,14,299,0.0,0.9369146928798039,0.40419900000000003,0.0365625,0.01421875,0.002221141412737779
4500,14,0,4500,15,299,-1.0,0.9322301194154049,0.404499,0.03265625,0.018125,0.0021382985322270544
4800,15,0,4800,16,299,-1.0,0.9275689688183278,0.404799,0.03125,0.0225,0.0022059966216329487
5100,16,0,5100,17,299,-1.0,0.9229311239742362,0.40509900000000004,0.02671875,0.023125,0.002173716732650064
5400,17,0,5400,18,299,2.0,0.918316468354365,0.405399,0.02609375,0.02171875,0.002117086353828199
5700,18,0,5700,19,299,-2.0,0.9137248860125932,0.40569900000000003,0.02875,0.0240625,0.0022352220478933306
6000,19,0,6000,20,299,-1.0,0.9091562615825302,0.405999,0.02671875,0.03046875,0.002521184948273003
6300,20,0,6300,21,299,1.0,0.9046104802746175,0.406299,0.02984375,0.030625,0.0030585714417975395
6600,21,0,6600,22,299,-2.0,0.9000874278732445,0.40659900000000004,0.030625,0.03171875,0.0031612649222370237
