step,episode,epoch,epoch step,epoch_episode,episode step,score,epsilon,beta,avg_pos_reward_ratio,avg_neg_reward_ratio,avg_loss
300,0,0,300,1,299,0.0,1.0,0.400299,0.0,0.0,0.001534796598114831
600,1,0,600,2,299,0.0,0.995,0.40059900000000004,0.00953125,0.00296875,0.001663068396737799
900,2,0,900,3,299,2.0,0.990025,0.400899,0.0309375,0.01203125,0.0025861508108209817
1200,3,0,1200,4,299,2.0,0.985074875,0.40119900000000003,0.03484375,0.00953125,0.0021812508802395315
1500,4,0,1500,5,299,0.0,0.9801495006250001,0.401499,0.05078125,0.0209375,0.003402417846955359
1800,5,0,1800,6,299,0.0,0.9752487531218751,0.401799,0.04765625,0.01921875,0.0028605322819203137
2100,6,0,2100,7,299,0.0,0.9703725093562657,0.40209900000000004,0.03125,0.01859375,0.0022114441613666712
2400,7,0,2400,8,299,0.0,0.9655206468094844,0.402399,0.03046875,0.01890625,0.0022393932088743897
2700,8,0,2700,9,299,1.0,0.960693043575437,0.40269900000000003,0.0296875,0.01828125,0.002024619565345347
3000,9,0,3000,10,299,0.0,0.9558895783575597,0.402999,0.0290625,0.0125,0.0017876637144945563
3300,10,0,3300,11,299,0.0,0.9511101304657719,0.403299,0.02203125,0.0134375,0.0014864926517475397
3600,11,0,3600,12,299,0.0,0.946354579813443,0.40359900000000004,0.0225,0.0165625,0.0017237257020315156
3900,12,0,3900,13,299,-1.0,0.9416228069143757,0.403899,0.02125,0.01796875,0.0018505881895544008
4200,13,0,4200,14,299,1.0,0.9369146928798039,0.40419900000000003,0.0265625,0.0171875,0.002011052105226554
4500,14,0,4500,15,299,0.0,0.9322301194154049,0.404499,0.02296875,0.01640625,0.0017649215279379859
4800,15,0,4800,16,299,1.0,0.9275689688183278,0.404799,0.02546875,0.01375,0.0017245982761960477
5100,16,0,5100,17,299,1.0,0.9229311239742362,0.40509900000000004,0.0259375,0.01546875,0.0018012544157681987
5400,17,0,5400,18,299,0.0,0.918316468354365,0.405399,0.02578125,0.0153125,0.0018106485775206238
5700,18,0,5700,19,299,2.0,0.9137248860125932,0.40569900000000003,0.028125,0.015625,0.0018357670883415267
6000,19,0,6000,20,299,0.0,0.9091562615825302,0.405999,0.03265625,0.014375,0.002159034356591292
6300,20,0,6300,21,299,1.0,0.9046104802746175,0.406299,0.03390625,0.0159375,0.002112915399484336
6600,21,0,6600,22,299,-2.0,0.9000874278732445,0.40659900000000004,0.03421875,0.020625,0.0024204654281493277
6900,22,0,6900,23,299,-1.0,0.8955869907338783,0.406899,0.03109375,0.025625,0.002464321164297871
7200,23,0,7200,24,299,0.0,0.8911090557802088,0.40719900000000003,0.030625,0.02109375,0.0023042296705534683
