step,episode,epoch,epoch step,epoch_episode,episode step,score,epsilon,beta,avg_pos_reward_ratio,avg_neg_reward_ratio,avg_loss
300,0,0,300,1,299,-1.0,1.0,0.400299,0.0,0.024364406779661018,0.00451613864585189
600,1,0,600,2,299,0.0,0.995,0.40059900000000004,0.0,0.02046875,0.002385116819059476
900,2,0,900,3,299,0.0,0.990025,0.400899,0.0,0.0159375,0.002525138792116195
1200,3,0,1200,4,299,-1.0,0.985074875,0.40119900000000003,0.0,0.0184375,0.0022963088931282983
1500,4,0,1500,5,299,1.0,0.9801495006250001,0.401499,0.005625,0.019375,0.0025494214956415817
1800,5,0,1800,6,299,-1.0,0.9752487531218751,0.401799,0.01015625,0.0246875,0.003019820166518912
2100,6,0,2100,7,299,-2.0,0.9703725093562657,0.40209900000000004,0.0090625,0.02765625,0.0030277668160852045
2400,7,0,2400,8,299,-1.0,0.9655206468094844,0.402399,0.009375,0.0378125,0.0037687420984730126
2700,8,0,2700,9,299,0.0,0.960693043575437,0.40269900000000003,0.00765625,0.0396875,0.003676330257439986
3000,9,0,3000,10,299,1.0,0.9558895783575597,0.402999,0.0115625,0.03765625,0.0036786939960438757
3300,10,0,3300,11,299,-1.0,0.9511101304657719,0.403299,0.013125,0.03765625,0.003612167870160192
3600,11,0,3600,12,299,-1.0,0.946354579813443,0.40359900000000004,0.0184375,0.04484375,0.00425338200526312
3900,12,0,3900,13,299,-3.0,0.9416228069143757,0.403899,0.016875,0.0521875,0.004448507089400664
4200,13,0,4200,14,299,2.0,0.9369146928798039,0.40419900000000003,0.02546875,0.0596875,0.005334744751453399
4500,14,0,4500,15,299,-3.0,0.9322301194154049,0.404499,0.029375,0.06390625,0.0056440145219676194
4800,15,0,4800,16,299,2.0,0.9275689688183278,0.404799,0.03484375,0.06453125,0.005859480735380202
5100,16,0,5100,17,299,1.0,0.9229311239742362,0.40509900000000004,0.0421875,0.06,0.0059268389781937
5400,17,0,5400,18,299,0.0,0.918316468354365,0.405399,0.03921875,0.0553125,0.005418710894882679
5700,18,0,5700,19,299,-1.0,0.9137248860125932,0.40569900000000003,0.03578125,0.05359375,0.005059798391303047
6000,19,0,6000,20,299,-1.0,0.9091562615825302,0.405999,0.03640625,0.0559375,0.00533905289368704
6300,20,0,6300,21,299,0.0,0.9046104802746175,0.406299,0.0353125,0.05859375,0.005205950937233865
6600,21,0,6600,22,299,-2.0,0.9000874278732445,0.40659900000000004,0.03171875,0.05953125,0.005050954894395545
6900,22,0,6900,23,299,0.0,0.8955869907338783,0.406899,0.03078125,0.058125,0.005003024921752513
7200,23,0,7200,24,299,1.0,0.8911090557802088,0.40719900000000003,0.03078125,0.05578125,0.0048102771188132465
7500,24,0,7500,25,299,-2.0,0.8866535105013078,0.407499,0.0321875,0.055625,0.004882990617770702
7800,25,0,7800,26,299,3.0,0.8822202429488013,0.407799,0.0371875,0.059375,0.005436465931124985
8100,26,0,8100,27,299,-1.0,0.8778091417340573,0.40809900000000005,0.03875,0.05890625,0.005575746984686702
8400,27,0,8400,28,299,3.0,0.8734200960253871,0.408399,0.04734375,0.056875,0.00589927221648395
8700,28,0,8700,29,299,-1.0,0.8690529955452602,0.40869900000000003,0.04734375,0.05828125,0.005904290615580976
9000,29,0,9000,30,299,0.0,0.8647077305675338,0.408999,0.04453125,0.0584375,0.005687670055776834
9300,30,0,9300,31,299,1.0,0.8603841919146962,0.409299,0.0425,0.056875,0.0054253838572185485
9600,31,0,9600,32,299,0.0,0.8560822709551227,0.40959900000000005,0.0403125,0.0553125,0.005163751128129661
9900,32,0,9900,33,299,-1.0,0.851801859600347,0.409899,0.03890625,0.05828125,0.005168960532173515
10200,33,0,10200,34,299,0.0,0.8475428503023453,0.41019900000000004,0.03515625,0.04875,0.004522139671025798
10500,34,1,300,1,299,-2.0,0.8433051360508336,0.410499,0.040625,0.04390625,0.004589808257296681
10800,35,1,600,2,299,1.0,0.8390886103705794,0.410799,0.03609375,0.04796875,0.004563872759463266
11100,36,1,900,3,299,1.0,0.8348931673187264,0.41109900000000005,0.036875,0.05078125,0.004694638200453483
11400,37,1,1200,4,299,2.0,0.8307187014821328,0.411399,0.03875,0.0475,0.004587602191604674
11700,38,1,1500,5,299,-2.0,0.8265651079747222,0.41169900000000004,0.04078125,0.04234375,0.0044345036498270925
12000,39,1,1800,6,299,0.0,0.8224322824348486,0.411999,0.0421875,0.04734375,0.0047009834449272606
12300,40,1,2100,7,299,-2.0,0.8183201210226743,0.412299,0.0384375,0.0515625,0.004751704791560769
12600,41,1,2400,8,299,-1.0,0.8142285204175609,0.41259900000000005,0.03515625,0.0534375,0.00474929379299283
12900,42,1,2700,9,299,0.0,0.810157377815473,0.412899,0.038125,0.0509375,0.004802181385457516
13200,43,1,3000,10,299,2.0,0.8061065909263957,0.41319900000000004,0.0390625,0.045625,0.004499734028941021
13500,44,1,3300,11,299,1.0,0.8020760579717637,0.413499,0.03796875,0.0496875,0.004585300995968282
13800,45,1,3600,12,299,0.0,0.798065677681905,0.41379900000000003,0.0325,0.05171875,0.004525229086866602
14100,46,1,3900,13,299,0.0,0.7940753492934954,0.414099,0.03453125,0.0546875,0.004642692322377116
14400,47,1,4200,14,299,0.0,0.7901049725470279,0.414399,0.03796875,0.0459375,0.004402255178429186
14700,48,1,4500,15,299,0.0,0.7861544476842928,0.41469900000000004,0.03609375,0.04875,0.0044117139687296
15000,49,1,4800,16,299,0.0,0.7822236754458713,0.414999,0.03421875,0.04953125,0.00434495399473235
15300,50,1,5100,17,299,4.0,0.778312557068642,0.41529900000000003,0.03828125,0.04625,0.004363343495642766
15600,51,1,5400,18,299,0.0,0.7744209942832988,0.415599,0.0371875,0.0425,0.004251957533415407
15900,52,1,5700,19,299,-2.0,0.7705488893118823,0.415899,0.0334375,0.04484375,0.0042756361491046845
16200,53,1,6000,20,299,-1.0,0.7666961448653229,0.41619900000000004,0.038125,0.0446875,0.004534059021389112
16500,54,1,6300,21,299,-1.0,0.7628626641409962,0.416499,0.03796875,0.04734375,0.004641304950928316
16800,55,1,6600,22,299,-1.0,0.7590483508202912,0.41679900000000003,0.0365625,0.04921875,0.004612987788859755
17100,56,1,6900,23,299,0.0,0.7552531090661897,0.417099,0.03390625,0.0453125,0.00440136049175635
17400,57,1,7200,24,299,1.0,0.7514768435208588,0.417399,0.03453125,0.04890625,0.004552953977836296
17700,58,1,7500,25,299,-2.0,0.7477194593032545,0.41769900000000004,0.0321875,0.0453125,0.004278411072446034
18000,59,1,7800,26,299,3.0,0.7439808620067382,0.417999,0.0334375,0.04984375,0.004603414626326412
18300,60,1,8100,27,299,2.0,0.7402609576967045,0.41829900000000003,0.03484375,0.0453125,0.004450658630812541
18600,61,1,8400,28,299,0.0,0.736559652908221,0.418599,0.0359375,0.048125,0.004619090753840283
