epoch,avg_score,avg_val_score,epsilon,avg_loss,beta
0,-0.20588235294117646,0.3333333333333333,0.90289112180858,0.004234298738883808,0.41019900000000004
1,0.04411764705882353,0.8333333333333334,0.8152123778407558,0.004699739463394508,0.420399
2,0.31,2.3333333333333335,0.7360480183408797,0.004855548557825387,0.430599
3,0.92,2.6666666666666665,0.6645712209847792,0.005395610856357962,0.440799
4,1.7,3.0,0.6000354552366449,0.0051922019431367514,0.45099900000000004
5,2.35,2.6666666666666665,0.5417666853035361,0.005511570649687201,0.461199
6,3.09,7.0,0.4891563302522258,0.0057531871017999945,0.471399
7,4.14,4.5,0.4416549077612003,0.006407303269952536,0.481599
8,4.96,5.666666666666667,0.39876629512077494,0.0063701700232923035,0.491799
9,5.59,5.666666666666667,0.3600425475410476,0.006820782495196909,0.501999
10,5.59,5.0,0.3250792196481553,0.0069498824840411545,0.5121990000000001
11,6.07,6.833333333333333,0.2935111413047805,0.0074247918045148254,0.5223990000000001
12,6.32,8.666666666666666,0.26500860363598966,0.0075212727044709025,0.532599
13,7.54,12.0,0.23927391542582405,0.007254707252141088,0.542799
14,8.15,7.833333333333333,0.21603829391835358,0.007305960904341191,0.552999
15,8.53,7.5,0.1950590575495539,0.0074982674652710555,0.563199
16,8.68,11.833333333333334,0.17611709128984102,0.007351449690759182,0.573399
17,8.86,8.333333333333334,0.1590145581243486,0.0072812783112749455,0.583599
18,9.39,10.666666666666666,0.14357283276878863,0.00706611315254122,0.593799
19,9.91,10.166666666666666,0.12963063603984717,0.007375378455035389,0.6039990000000001
20,9.82,7.666666666666667,0.11704235039477738,0.007257871073670685,0.6141989999999999
21,9.99,11.166666666666666,0.10567649904705341,0.006916752310935408,0.624399
22,10.35,7.666666666666667,0.09541437277339737,0.006806409445125609,0.634599
23,10.67,9.0,0.08614879007003474,0.0070006859861314295,0.644799
24,10.92,10.5,0.07778297770878553,0.007056524360086769,0.654999
25,10.9,13.833333333333334,0.07022956000109712,0.007202501948922873,0.665199
26,11.56,11.333333333333334,0.06340964621351357,0.006795375414658338,0.6753990000000001
27,11.9,13.833333333333334,0.057252006603204425,0.0066848893859423695,0.6855990000000001
28,11.78,13.333333333333334,0.05169232846775944,0.006486802033614367,0.6957990000000001
29,11.91,9.833333333333334,0.04667254443915289,0.0063589680031873284,0.705999
30,12.51,14.5,0.04214022600632754,0.00642685157712549,0.716199
31,13.3,13.333333333333334,0.03804803593212014,0.006256301344837994,0.726399
32,13.53,12.333333333333334,0.034353233845365115,0.00609490369213745,0.736599
33,13.49,11.5,0.03101722984439418,0.0055709091271273796,0.746799
34,13.71,13.0,0.02800518144959962,0.0057658361434005205,0.756999
35,14.61,14.5,0.025285629695481822,0.005560514372773468,0.767199
36,14.88,15.0,0.022830170561389918,0.00538365536602214,0.777399
37,14.85,14.166666666666666,0.02061315830925455,0.005580523954704404,0.7875989999999999
38,14.54,12.333333333333334,0.018611437629860682,0.005307681648992002,0.797799
39,14.36,12.166666666666666,0.016804101800095315,0.00508856114000082,0.807999
40,14.9,12.666666666666666,0.015172274325273627,0.005311356552410871,0.8181990000000001
41,15.14,14.833333333333334,0.013698911785933817,0.005087131606414914,0.828399
42,15.37,16.166666666666668,0.012368625829958563,0.005062696342356503,0.838599
43,15.28,18.0,0.011167522450841863,0.0049356701655779035,0.8487990000000001
44,15.45,16.666666666666668,0.010083056873463109,0.004584118681959808,0.8589990000000001
45,15.83,14.333333333333334,0.01,0.004737050263211131,0.869199
46,15.62,14.5,0.01,0.004686039253138006,0.879399
47,15.2,15.5,0.01,0.004389828707790002,0.889599
48,15.36,15.666666666666666,0.01,0.004843320723157376,0.899799
49,15.78,15.666666666666666,0.01,0.004123604433843866,0.909999
50,16.3,16.833333333333332,0.01,0.0042210462933871895,0.920199
51,16.21,15.166666666666666,0.01,0.0039205490844324235,0.930399
52,16.19,15.833333333333334,0.01,0.0040853604173753414,0.940599
53,16.43,17.0,0.01,0.003927464234875515,0.9507990000000001
54,16.71,16.166666666666668,0.01,0.0038000498386099933,0.960999
55,16.6,16.5,0.01,0.003773777667665854,0.9711989999999999
56,16.26,17.666666666666668,0.01,0.003904059510678053,0.981399
57,16.5,16.833333333333332,0.01,0.003604072699090466,0.991599
58,16.69,18.166666666666668,0.01,0.0037501422804780303,0.999999
