epoch,avg_score,avg_val_score,epsilon,avg_loss,beta
0,0.6176470588235294,0.8333333333333334,0.8433051360508336,0.004521269071847201,0.41019900000000004
1,0.8235294117647058,2.1666666666666665,0.7111635524897149,0.00523523453855887,0.420399
2,1.18,1.6666666666666667,0.5997278763867329,0.005178063604980707,0.430599
3,1.69,2.8333333333333335,0.5057535983897912,0.005385057281237096,0.440799
4,2.31,5.333333333333333,0.42650460709830135,0.005627552466467023,0.45099900000000004
5,3.43,3.8333333333333335,0.3596735257153405,0.005714694240596146,0.461199
6,4.85,7.666666666666667,0.3033145315372582,0.006112262576352805,0.471399
7,5.89,6.5,0.25578670228422234,0.005967871099710464,0.481599
8,6.35,7.166666666666667,0.21570623976979014,0.00598356832517311,0.491799
9,7.12,7.833333333333333,0.18190617987607657,0.0063465931639075275,0.501999
10,7.91,8.333333333333334,0.1534024157688821,0.0062590907257981596,0.5121990000000001
11,8.94,8.666666666666666,0.12936504510050365,0.00667784791206941,0.5223990000000001
12,9.56,9.833333333333334,0.10909420695870241,0.006547745291609317,0.532599
13,10.42,9.833333333333334,0.09199970504166631,0.00654685371555388,0.542799
14,10.69,9.833333333333334,0.07758382377679894,0.006561674363911152,0.552999
15,11.19,9.5,0.06542683706543727,0.006778623363934457,0.563199
16,11.65,10.166666666666666,0.05517478773284426,0.007216316882986576,0.573399
17,12.39,12.166666666666666,0.04652918187562211,0.007000396510120481,0.583599
18,12.49,12.0,0.03923829805195549,0.00688003896502778,0.593799
19,12.77,12.0,0.03308985827710748,0.0069164531002752485,0.6039990000000001
20,13.35,12.666666666666666,0.0279048474362789,0.006603057249449194,0.6141989999999999
21,13.8,9.166666666666666,0.023532301163728918,0.006630592565052211,0.624399
22,14.04,14.0,0.019844910434467605,0.006843409684952348,0.634599
23,13.68,13.5,0.016735314893855303,0.00666114846477285,0.644799
24,13.68,12.0,0.014112977003416188,0.006688227551057935,0.654999
25,13.8,15.833333333333334,0.01190154599194817,0.00653133268468082,0.665199
26,14.22,16.0,0.010036634861955105,0.005928803798742593,0.6753990000000001
27,14.4,15.833333333333334,0.01,0.006258914973586798,0.6855990000000001
28,14.65,15.833333333333334,0.01,0.005946174019481987,0.6957990000000001
29,14.89,15.0,0.01,0.005633467577863485,0.705999
30,15.15,17.166666666666668,0.01,0.005718986405991017,0.716199
31,15.3,17.166666666666668,0.01,0.005732993299607188,0.726399
32,15.53,16.0,0.01,0.005478542211931199,0.736599
33,15.69,17.833333333333332,0.01,0.005170642884913832,0.746799
34,15.76,14.0,0.01,0.0053209753916598854,0.756999
35,15.92,17.333333333333332,0.01,0.004955706743057817,0.767199
36,16.14,13.833333333333334,0.01,0.0051516119879670445,0.777399
37,16.18,13.666666666666666,0.01,0.00509814522927627,0.7875989999999999
38,16.29,18.0,0.01,0.004451071021612733,0.797799
39,16.35,16.666666666666668,0.01,0.004318188107572496,0.807999
40,16.47,16.166666666666668,0.01,0.004444642243906855,0.8181990000000001
41,16.49,16.0,0.01,0.004271935888100415,0.828399
42,16.25,16.0,0.01,0.004151224360102787,0.838599
43,16.63,17.5,0.01,0.00407957882154733,0.8487990000000001
44,16.65,18.166666666666668,0.01,0.0039580331009346995,0.8589990000000001
45,16.89,14.833333333333334,0.01,0.003971109760459513,0.869199
46,16.62,17.666666666666668,0.01,0.0037072582193650306,0.879399
47,16.64,17.5,0.01,0.0037189264106564225,0.889599
48,16.7,18.0,0.01,0.003555109641747549,0.899799
49,16.88,17.5,0.01,0.0033484343520831317,0.909999
50,17.01,16.0,0.01,0.0033130400022491815,0.920199
51,17.24,14.5,0.01,0.003343002914916724,0.930399
52,16.83,16.666666666666668,0.01,0.003213381195673719,0.940599
53,16.79,16.833333333333332,0.01,0.003337519457563758,0.9507990000000001
54,16.64,16.666666666666668,0.01,0.003164976277621463,0.960999
55,17.13,17.0,0.01,0.003039804642321542,0.9711989999999999
56,16.77,16.5,0.01,0.002940332499565557,0.981399
57,16.7,19.166666666666668,0.01,0.003025851505808532,0.991599
58,16.38,18.0,0.01,0.0029286668391432613,0.999999
